00408ebf	00408de4	0040a030	                                __report_gsfailure	__imp__UnhandledExceptionFilter@4
00408edb	00408de4	0040a034	                                __report_gsfailure	__imp__GetCurrentProcess@0
00408edb	00408de4	0040a034	                                __report_gsfailure	__imp__GetCurrentProcess@0
00408ee2	00408de4	0040a038	                                __report_gsfailure	__imp__TerminateProcess@8
00408ee2	00408de4	0040a038	                                __report_gsfailure	__imp__TerminateProcess@8
00408d40	00408d09	0040a03c	                            __security_init_cookie	__imp__GetSystemTimeAsFileTime@4
00408d40	00408d09	0040a03c	                            __security_init_cookie	__imp__GetSystemTimeAsFileTime@4
00408d4c	00408d09	0040a040	                            __security_init_cookie	__imp__GetCurrentProcessId@0
00408d4c	00408d09	0040a040	                            __security_init_cookie	__imp__GetCurrentProcessId@0
004029a3	004028c0	0040a044	              CComCtlWrapper::_ImageList_AddMasked	__imp__SetLastError@4
004029a3	004028c0	0040a044	              CComCtlWrapper::_ImageList_AddMasked	__imp__SetLastError@4
00408d5c	00408d09	0040a048	                            __security_init_cookie	__imp__GetTickCount@0
00408d5c	00408d09	0040a048	                            __security_init_cookie	__imp__GetTickCount@0
00408d68	00408d09	0040a04c	                            __security_init_cookie	__imp__QueryPerformanceCounter@4
00408d68	00408d09	0040a04c	                            __security_init_cookie	__imp__QueryPerformanceCounter@4
00408a92	00408a8d	0040a050	                  __CxxSetUnhandledExceptionFilter	__imp__SetUnhandledExceptionFilter@4
00408eb4	00408de4	0040a050	                                __report_gsfailure	__imp__SetUnhandledExceptionFilter@4
00408a92	00408a8d	0040a050	                  __CxxSetUnhandledExceptionFilter	__imp__SetUnhandledExceptionFilter@4
00408eb4	00408de4	0040a050	                                __report_gsfailure	__imp__SetUnhandledExceptionFilter@4
004088e4	004088cc	0040a054	                                         _onexit_0	__imp__DecodePointer@4
0040890c	004088cc	0040a054	                                         _onexit_0	__imp__DecodePointer@4
00408917	004088cc	0040a054	                                         _onexit_0	__imp__DecodePointer@4
004088de	004088cc	0040a054	                                         _onexit_0	__imp__DecodePointer@4
00408813	004087bc	0040a058	                                        pre_c_init	__imp__EncodePointer@4
0040892d	004088cc	0040a058	                                         _onexit_0	__imp__EncodePointer@4
0040893e	004088cc	0040a058	                                         _onexit_0	__imp__EncodePointer@4
00408948	004088cc	0040a058	                                         _onexit_0	__imp__EncodePointer@4
00408813	004087bc	0040a058	                                        pre_c_init	__imp__EncodePointer@4
00408927	004088cc	0040a058	                                         _onexit_0	__imp__EncodePointer@4
00408600	004085eb	0040a05c	                                 __tmainCRTStartup	__imp__GetStartupInfoW@4
00408600	004085eb	0040a05c	                                 __tmainCRTStartup	__imp__GetStartupInfoW@4
00408613	004085eb	0040a060	                                 __tmainCRTStartup	__imp__HeapSetInformation@16
00408613	004085eb	0040a060	                                 __tmainCRTStartup	__imp__HeapSetInformation@16
00408630	004085eb	0040a064	                                 __tmainCRTStartup	__imp__InterlockedCompareExchange@12
00408630	004085eb	0040a064	                                 __tmainCRTStartup	__imp__InterlockedCompareExchange@12
0040864b	004085eb	0040a068	                                 __tmainCRTStartup	__imp__Sleep@4
0040864b	004085eb	0040a068	                                 __tmainCRTStartup	__imp__Sleep@4
004086cf	004085eb	0040a06c	                                 __tmainCRTStartup	__imp__InterlockedExchange@8
004086cf	004085eb	0040a06c	                                 __tmainCRTStartup	__imp__InterlockedExchange@8
00406c7a	00406590	0040a070	                      CPropertiesWnd::InitPropList	__imp__lstrcpyW@8
